review_id,rating,text,sentiment,created_time,clean_text,topic,topic_label
17648552,5,"Cực kì hài lòng Bọc kĩ, sách màu, kích thước a6 rất xinh",positive,,bọc kĩ_sách màu kích_thước a6 xinh,3,LOGISTICS
4352882,4,"Hài lòng sách hơi bị lem nhem nhẹ ở góc và gáy, nhưng tổng thể rất đẹp. Mình đọc xong bản tiếng Việt rồi nên mua bản này về đọc lại, vừa ngẫm, vừa học TA ?",positive,,sách_hơi lem_nhem nhẹ ở góc gáy tổng_thể đẹp đọc xong bản tiếng việt mua bản đọc vừa ngẫm vừa học,4,GENERAL
13218633,5,Cực kì hài lòng Ưng quá xá luôn ! Nên mua nha mn canh sale rẻ quá cho 1 cuốn sách ngoại văn 😇,positive,,ưng quá_xá luôn mua nha mn canh sale rẻ quá 1 cuốn ngoại_văn,0,PRICING
16074219,5,Cực kì hài lòng nội dung hay,positive,,nội_dung hay,4,GENERAL
7529542,5,Cực kì hài lòng Hay truyen đpej dtrrarst ok kkxkdkkdmdnđmkkkkkkkkkkkkkkkkkkkkkkkkkkkkwkkkk là kkkkkkkkkkkkw và các kkk,positive,,hay truyen đpej dtrrarst ok kkxkdkkdmdnđmkkkkkkkkkkkkkkkkkkkkkkkkkkkkwkkkk kkkkkkkkkkkkw kkk,1,PRODUCT_QUALITY
13197731,5,Cực kì hài lòng chất lượng sách tốt,positive,,chất_lượng tốt,0,PRICING
2746990,1,"Sản phẩm hoàn toàn không đúng mô tả, và là hàng cũ. Tiki giới thiệu sản phẩm là hardcover, sách mới nhưng mình nhận được sản phẩm hoàn toàn khác: paperback, chất lượng giấy bên trong k tốt, bìa rất cũ, bìa sách cũng k giống như giới thiệu luôn, cảm tưởng như bị *** vậy :). Mua sách Tiki đã nhiều, đặt hàng k cần check review, nhận hàng k cần check hàng nhưng lần này thất vọng thật sự. Sẽ cẩn thận hơn sau này và có thể cân nhắc việc mua hàng ở Tiki.",negative,,hoàn_toàn đúng mô_tả cũ giới_thiệu hardcover mới nhận hoàn_toàn khác paperback chất_lượng giấy bên trong k tốt bìa cũ bìa k giống giới_thiệu luôn cảm_tưởng vậy mua nhiều đặt_hàng k cần check review nhận k cần check lần thất_vọng thật_sự cẩn_thận hơn sau_này có_thể cân_nhắc việc mua ở,2,LOGISTICS
2499534,2,"Ghi là bản hardcover nhưng lại giao bản paperback Thông tin mô tả ghi là bản hardcover, nhưng sách được giao là paperback
Bìa sách bị cong, nhiều vết xước như sách đã qua sử dụng
Đề nghị các bạn đổi lại sách cho mình",negative,,ghi bản_hardcover giao_bản paperback thông_tin mô_tả ghi bản_hardcover giao paperback bìa cong nhiều vết xước qua sử_dụng đề_nghị đổi,2,LOGISTICS
5972632,5,"Cực kì hài lòng Sách nhẹ, giấy tốt. Nội dung phù hợp với những ai đang cần một sự thay đổi refresh và làm mới bản thân, ngay cả những người đã thành công...",positive,,nhẹ giấy tốt nội_dung phù_hợp với những_ai cần sự thay_đổi refresh làm mới bản_thân ngay cả người thành_công,4,GENERAL
440639,5,"Thật hạnh phúc khi có The Great Gatsby Mình được bạn cho mượn cuốn này ở bản dịch ra tiếng Việt, đọc xong thấy hay quá liền mua quyển riêng cho mình, một quyển tiếng Việt và một quyển tiếng Anh. Sách này mỏng hơn so với bản dịch của nó, nhưng mà có vẻ chữ nhiều hơn, có lẽ vì phông chữ và cách trình bày của hai sách khác nhau nên mới gây ra độ dày giữa hai quyển. Câu từ trong sách khá dễ hiểu, rất có ích trong việc học tiếng anh. Quan trọng hơn là khi đọc văn bản chính gốc thì mình có thể cảm nhận được thái độ của tác giả như thế nào đối với hai nhân vật chính trong chuyện theo cách riêng của cá nhân. Và tất nhiên The Great Gatsby là một cuốn sách vĩ đại",positive,,thật hạnh_phúc khi the great gatsby mượn cuốn ở bản dịch ra tiếng việt đọc xong thấy hay quá liền mua quyển riêng quyển tiếng việt quyển tiếng mỏng hơn so với bản dịch nó nhưng_mà có_vẻ chữ nhiều hơn có_lẽ vì phông chữ cách trình_bày hai khác nhau mới gây ra độ dày giữa hai quyển câu trong khá dễ hiểu có_ích trong việc học tiếng quan_trọng hơn khi đọc văn_bản chính gốc có_thể cảm_nhận thái_độ tác_giả như_thế_nào đối_với hai nhân_vật chính trong chuyện theo cách riêng cá_nhân tất_nhiên the great gatsby cuốn vĩ_đại,4,GENERAL
4741167,4,"hài lòng sách mới giao hàng nhanh, mình chưa đọc kịp vì mua nhiều sách cùng lúc, cám ơn shop nhiều",positive,,mới giao nhanh chưa đọc kịp vì mua nhiều cùng lúc cám_ơn nhiều,2,LOGISTICS
4063617,3,Bình thường Bìa sách không như hình chụp nhe,neutral,,bìa hình chụp nhe,1,PRODUCT_QUALITY
428395,4,"Great gasby so great! Ban đầu nhìn trên web thì tưởng quyển này to lắm vì đây cũng là tác phẩm kinh điển, lại là tiếng Anh. Mình có thấy phim này nhưng chưa xem, giờ tính mua để đọc rồi xem phim sau để xem có gì khác biệt, sẵn bổ sung thêm vốn từ vựng luôn.
Lúc nhận được hàng thì có hơi thất vọng vì nó quá mỏng, giấy bình thường. Nhưng khi mở ra thì đã hiểu tại sao :)) ôi thôi chữ thôi là chữ, chi chít nhau luôn. 
Sách được bọc kiếng kĩ càng, về khoản này thì mình chưa bao giờ thất vọng về tiki cả :)",positive,,great gasby so great ban_đầu nhìn trên web tưởng quyển to vì đây tác_phẩm kinh_điển tiếng thấy phim chưa xem giờ tính mua để đọc xem phim sau để xem gì khác_biệt sẵn bổ_sung thêm vốn vựng luôn lúc nhận thất_vọng vì nó quá mỏng giấy khi mở ra hiểu tại_sao ôi thôi chữ thôi chữ chi_chít nhau luôn bọc_kiếng kĩ_càng khoản chưa bao_giờ thất_vọng cả,4,GENERAL
294706,5,"Kinh điển Mình tìm đến quyển sách này nhờ bộ phim cùng tên đo  Leonado dicaprio đóng,thực sự mình bị choáng ngộp bởi những gì miêu tả trong đây,và nếu không làm thành phim thì trí tưởng tượng mình cũng không suy nghĩ tới được,sự sa hoa trong câu chuyện vượt quá sức tưởng tượng của mình.Tình yêu của Gastby với Lisa đã giúp anh vươn lên vị tri cao trong xã hội,những bữa tiệc xa hoa hằng đêm,mời tất cả mọi người nhưng khi anh chết thì chỉ có anh bạn hàng xóm đến thăm.Thật tội nghiệp cho Gastby!
Cảm ơn tiki đã mang đến những quyển sách hay như vậy!",positive,,kinh_điển tìm đến quyển nhờ bộ phim cùng tên đo leonado dicaprio đóng thực_sự choáng_ngộp bởi gì miêu_tả trong đây nếu làm thành phim trí tưởng_tượng suy_nghĩ tới sự sa_hoa trong câu_chuyện vượt quá_sức tưởng_tượng tình_yêu gastby với lisa giúp vươn lên vị tri_cao trong xã_hội bữa tiệc xa hoa hằng đêm mời tất_cả mọi người khi chết chỉ hàng_xóm đến thăm thật tội_nghiệp gastby cảm_ơn mang đến quyển hay như_vậy,4,GENERAL
20138335,5,"Cực kì hài lòng Sách giao sớm hơn dự kiến, được đóng gói cẩn thận để đề phòng việc móp sách trong quá trình vận chuyển.
Sản phẩm về hình thức ok.
Cảm ơn Tiki",positive,,giao sớm hơn dự_kiến đóng_gói cẩn_thận để đề_phòng việc móp_sách trong quá_trình vận_chuyển hình_thức ok cảm_ơn,4,GENERAL
14262093,5,Cực kì hài lòng Giao nhanh. Sách mới đẹp thơm mùi sách mới. Đóng gói cẩn thận mình rất hài lòng. Sách từ Tiki giá quá ưu đãi miễn bàn rùi hihi. Tiếp tục ủng hộ TIKI và nhà bán. Thanks!!!,positive,,giao nhanh mới đẹp thơm mùi mới đóng_gói cẩn_thận giá quá ưu_đãi miễn bàn rùi hihi tiếp_tục ủng_hộ nhà bán thanks,3,LOGISTICS
19278738,5,Cực kì hài lòng Đúng sách gốc.,positive,,đúng gốc,4,GENERAL
10800415,5,Cực kì hài lòng nội dủngất tôtd,positive,,nội_dủngất tôtd,1,PRODUCT_QUALITY
20118290,5,"Cực kì hài lòng Sách đẹp, chất lượng; thích hợp cho trẻ em bắt đầu học tiếng Anh tại nhà.",positive,,đẹp chất_lượng thích_hợp trẻ_em bắt_đầu học tiếng tại nhà,4,GENERAL
14603882,5,"Cực kì hài lòng Sách chuẩn, đóng gói cẩn thận",positive,,sách_chuẩn đóng_gói cẩn_thận,3,LOGISTICS
13167133,5,Cực kì hài lòng Sách trong điều kiện rất tốt. Thanks,positive,,trong điều_kiện tốt thanks,0,PRICING
13480644,5,Cực kì hài lòng sach day va huu ich cho be,positive,,sach day va huu ich be,1,PRODUCT_QUALITY
6445808,5,Cực kì hài lòng chất lượng rất tốt.,positive,,chất_lượng tốt,0,PRICING
4311590,5,"Khá hài lòng Sản phẩm được bọc rất kỹ, nhưng mở ra thì mình đã thấy bị xức bên trong, hơi thất vọng về hình thức 1 tí!!??
Nội dung: rất ổn, có tổng 6 đề thi thử, format đề mới, phù hợp cho những bạn đang ôn luyện B1 2020. Mình đã tìm rất lâu mới thấy cuốn sách phù hợp về nội dung lẫn giá tiền như này!! Rất hài lòng???",positive,,khá bọc kỹ mở ra thấy xức bên trong thất_vọng hình_thức 1 tí nội_dung ổn tổng 6 đề_thi thử format đề mới phù_hợp ôn_luyện b1 2020 tìm lâu mới thấy cuốn phù_hợp nội_dung lẫn giá tiền,4,GENERAL
19393254,5,"Cực kì hài lòng Sách đẹp, nội dung hay. Fahasa có nhiều sách ngoại ngữ hữu ích, giá tốt. Giao hàng nhanh hơn dự kiến!",positive,,đẹp nội_dung hay fahasa nhiều ngoại_ngữ hữu_ích giá tốt giao nhanh hơn dự_kiến,3,LOGISTICS
7776858,5,"Cực kì hài lòng Tiki và Fahasa giao hàng siêu nhanh, chất lượng sách rất tốt!!! Mình đặt hôm kia mà sáng nay đã nhận được sách rồi :)) Bên giao hàng đúng là phục vụ xuyên Tết . Tuyệt vời quá!!!",positive,,fahasa giao siêu nhanh chất_lượng tốt đặt hôm kia sáng nay nhận bên giao đúng phục_vụ xuyên tết tuyệt_vời quá,2,LOGISTICS
15748260,5,"Cực kì hài lòng Sách giao rất nhanh, mình đặt hôm qua mà hôm nay đã giao đến rồi. Sách được đóng gói và bọc kiếng rất cẩn thận, Fahasa có chất lượng dịch vụ rất tốt",positive,,giao nhanh đặt hôm_qua hôm_nay giao đến đóng_gói bọc_kiếng cẩn_thận fahasa chất_lượng dịch_vụ tốt,3,LOGISTICS
16661387,5,"Cực kì hài lòng Sách được đóng gói rất là oke lun, ko bị nhăn góc",positive,,đóng_gói oke lun nhăn góc,1,PRODUCT_QUALITY
16121486,5,Cực kì hài lòng Sách hữu ích dành cho các bạn ôn thi B1,positive,,hữu_ích dành ôn_thi b1,4,GENERAL
20226506,5,Cực kì hài lòng giao hàng nhanh đóng gói kĩ nội dung hay đáng tiền,positive,,giao nhanh đóng_gói kĩ_nội_dung hay đáng tiền,3,LOGISTICS
15999028,5,Cực kì hài lòng Sản phẩm nguyên bản. Giao hàng nhanh,positive,,nguyên_bản giao nhanh,3,LOGISTICS
17041026,5,Cực kì hài lòng Tuyệt zoiqf,positive,,tuyệt_zoiqf,0,PRICING
19914782,1,Rất không hài lòng Đặt sách tiếng anh giao sách tiếng Việt,negative,,đặt tiếng giao tiếng việt,4,GENERAL
16213352,5,"Cực kì hài lòng bản tiếng anh, giá tốt,đóng gói tốt",positive,,bản tiếng giá tốt đóng_gói tốt,0,PRICING
11483291,5,Cực kì hài lòng Hàng Chất lượng tốt. Nên mua.,positive,,chất_lượng tốt mua,0,PRICING
11316952,5,Cực kì hài lòng Đóng gói cẩn thận,positive,,đóng_gói cẩn_thận,3,LOGISTICS
14820569,5,"Cực kì hài lòng Sách tiếng Anh, mình đã đọc phiên bản tiếng Việt & giờ mua đọc tiếng Anh thì thấy càng hay! Sách này đã được xuất bản lại bởi nhà xuất bản Norton với giá $12.45 từ Amazone và mình đoán là nội dung tương tự nên với sách này thì giá tốt hơn mà vẫn nhận được giá trị nội dung tương đương.",positive,,tiếng đọc phiên_bản tiếng việt giờ mua đọc tiếng thấy càng hay xuất_bản bởi nhà_xuất_bản norton với giá 12 45 amazone đoán nội_dung tương_tự với giá tốt hơn nhận giá_trị nội_dung tương_đương,4,GENERAL
8974547,1,"Rất không hài lòng Sách bị ố, bị dơ
yêu cầu đổi hàng",negative,,ố dơ yêu_cầu đổi,2,LOGISTICS
10821401,2,Không hài lòng Sách bị ố màu cả bìa và hầu hết các trang sách,negative,,ố màu cả bìa hầu_hết trang,4,GENERAL
10826631,5,Cực kì hài lòng Viết rất chi tiết từng vấn đề.,positive,,viết chi_tiết từng vấn_đề,4,GENERAL
10100474,5,"Cực kì hài lòng chất lượng sách tốt, có mùi sách mới. Giao hàng nhanh.",positive,,chất_lượng tốt mùi mới giao nhanh,3,LOGISTICS
12972402,5,Cực kì hài lòng ok,positive,,ok,4,GENERAL
4365291,5,"Sách đẹp, dịch vụ giao hàng ổn Đây là cuốn sách mình muốn mua rất lâu rồi, khi cầm nó trên tay cảm thấy thật là hạnh phúc",positive,,đẹp dịch_vụ giao ổn đây cuốn muốn mua lâu khi cầm nó trên tay cảm_thấy thật hạnh_phúc,4,GENERAL
8909404,5,Cực kì hài lòng sách hay nên mua.,positive,,hay mua,0,PRICING
2438646,5,"Cực kì hài lòng Sách hay, mặc dù lần đầu sách bị lỗi nhưng hài lòng với dịch vụ của Tiki",positive,,hay mặc_dù lần đầu_sách lỗi với dịch_vụ,2,LOGISTICS
8038939,5,Cực kì hài lòng sách đúng mẫu. hơi bị tróc góc bìa xíu. nhưng bên trong ok.,positive,,đúng mẫu tróc góc bìa_xíu bên trong ok,1,PRODUCT_QUALITY
8662150,5,Cực kì hài lòng sách mới   bao bọc cẩn thận . giao hàng nhanh,positive,,mới bao_bọc cẩn_thận giao nhanh,3,LOGISTICS
15324597,5,Cực kì hài lòng good,positive,,good,0,PRICING
8280154,5,Cực kì hài lòng Giao hàng nhanh chóng hài lòng,positive,,giao nhanh_chóng,3,LOGISTICS
2977702,5,"Đóng gói chắc chắn Sách có bản quyền, chữ đẹp, trang giấy bóng, dầy, chắc chắn",positive,,đóng_gói chắc_chắn bản_quyền chữ đẹp_trang giấy bóng dầy chắc_chắn,3,LOGISTICS
3267061,5,"Cực kì hài lòng Giao hàng nhanh, cẩn thận",positive,,giao nhanh cẩn_thận,3,LOGISTICS
